Awardee,Estimated Total Award Amount,Agency
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS,"$134,954",NSF
ROWAN UNIVERSITY,"$199,791",NSF
NORTHWESTERN UNIVERSITY,"$360,000",NSF
SRI INTERNATIONAL,"$750,200",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$437,938",NSF
UNIVERSITY OF TEXAS AT ARLINGTON,"$799,890",NSF
CALIFORNIA ASSOCIATION FOR RESEARCH IN ASTRONOMY,"$967,848",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$498,875",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$100,000",NSF
"REL, INC.","$487,836",NSF
"UNIVERSITY OF UTAH, THE","$80,621",NSF
"TRUSTEES OF PRINCETON UNIVERSITY, THE","$420,000",NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION,"$656,606",NSF
BERKELEY GEOCHRONOLOGY CENTER,"$80,000",NSF
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","$1,043,173",NSF
UNIVERSITY OF NEBRASKA,"$749,285",NSF
CASE WESTERN RESERVE UNIVERSITY,"$150,000",NSF
"AERODYNE RESEARCH, INC.","$60,000",NSF
UNIVERSITY OF SAN DIEGO,"$300,000",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$150,000",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$1,530,985",NSF
UNIVERSITY OF MARYLAND,"$225,561",NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE","$1,400,921",NSF
"GLUCOSENTIENT, INC","$750,000",NSF
MICHIGAN STATE UNIVERSITY,"$433,473",NSF
UNIVERSITY OF WASHINGTON,"$199,681",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$600,750",NSF
"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.","$174,021",NSF
"SIGMA XI, THE SCIENTIFIC RESEARCH SOCIETY, INCORPORATED","$296,128",NSF
"ATMOSPHERIC AND ENVIRONMENTAL RESEARCH, INC.","$249,995",NSF
DUKE UNIVERSITY,"$86,674",NSF
UNIVERSITY OF TEXAS AT DALLAS,"$392,502",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$776,696",NSF
COLORADO STATE UNIVERSITY,"$499,290",NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY,"$199,564",NSF
"CORNELL UNIVERSITY, INC","$560,614",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$73,945",NSF
"FLORIDA STATE UNIVERSITY, THE","$450,000",NSF
VIRGINIA INSTITUTE OF MARINE SCIENCE,"$128,672",NSF
TRUSTEES OF THE COLORADO SCHOOL OF MINES,"$856,000",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$1,091,999",NSF
"OHIO STATE UNIVERSITY, THE","$1,100,000",NSF
"COLLEGE OF WILLIAM & MARY, THE","$151,328",NSF
COLD SPRING HARBOR LABORATORY,"$982,938",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$384,000",NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","$79,955",NSF
"UNIVERSITY OF UTAH, THE","$999,871",NSF
UNIVERSITY OF FLORIDA,"$94,576",NSF
"REED INSTITUTE, THE","$600,000",NSF
"NATIONAL BUREAU OF ECONOMIC RESEARCH, INC.","$424,445",NSF
UNIVERSITY OF TENNESSEE,"$342,945",NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,"$2,002",NSF
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.","$2,530,455",NSF
SITKA SOUND SCIENCE CENTER INC.,"$216,269",NSF
UNIVERSITY OF HAWAII SYSTEMS,"$554,924",NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE","$136,225",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$829,086",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$277,104",NSF
OBERLIN COLLEGE,"$200,029",NSF
PURDUE UNIVERSITY,"$200,000",NSF
UNIVERSITY OF CONNECTICUT,"$800,000",NSF
"TEACHERS COLLEGE, COLUMBIA UNIVERSITY","$1,480,949",NSF
OREGON STATE UNIVERSITY,"$235,405",NSF
UNIVERSITY OF ARKANSAS SYSTEM,"$3,471,665",NSF
MARQUETTE UNIVERSITY,"$102,468",NSF
"FLORIDA STATE UNIVERSITY, THE","$48,000",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$8,949,048",NSF
"FLORIDA STATE UNIVERSITY, THE","$475,901",NSF
"CARY INSTITUTE OF ECOSYSTEM STUDIES, INC.","$84,983",NSF
UNIVERSITY OF WASHINGTON,"$81,011",NSF
TRUSTEES OF INDIANA UNIVERSITY,"$750,071",NSF
WASHINGTON STATE UNIVERSITY,"$235,269",NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"$9,248",NSF
"UNIVERSITY OF UTAH, THE","$249,543",NSF
UNIVERSITY OF SOUTH FLORIDA,"$161,052",NSF
UNIVERSITY OF HAWAII SYSTEMS,"$132,018",NSF
TRUSTEES OF INDIANA UNIVERSITY,"$900,151",NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY,"$278,441",NSF
PURDUE UNIVERSITY,"$260,331",NSF
MIAMI UNIVERSITY,"$329,094",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$282,521",NSF
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,"$234,715",NSF
UNIVERSITY OF ILLINOIS,"$255,851",NSF
SRI INTERNATIONAL,"$2,732,239",NSF
WASHINGTON STATE UNIVERSITY,"$234,375",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$100,000",NSF
"CORNELL UNIVERSITY, INC","$699,986",NSF
TEXAS SOUTHERN UNIVERSITY,"$286,649",NSF
UNIVERSITY OF TEXAS AT ARLINGTON,"$461,098",NSF
SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION,"$171,991",NSF
SOUTHERN METHODIST UNIVERSITY INC,"$196,717",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$1,499,998",NSF
UNIVERSITY OF SOUTH FLORIDA,"$55,481",NSF
"CORNELL UNIVERSITY, INC","$772,568",NSF
"COLLEGE OF WILLIAM & MARY, THE","$300,000",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$858,411",NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,"$240,000",NSF
OREGON STATE UNIVERSITY,"$34,221",NSF
"TRUSTEES OF PRINCETON UNIVERSITY, THE",,NASA
UNIVERSITY OF MARYLAND BALTIMORE COUNTY,,NASA
SOUTHWEST RESEARCH INSTITUTE,,NASA
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,,NASA
"WASHINGTON UNIVERSITY, THE","$350,003",NSF
KANSAS STATE UNIVERSITY,"$422,603",NSF
"CORNELL UNIVERSITY, INC","$1,976,976",NSF
J CRAIG VENTER INSTITUTE INC,"$4,492,936",NSF
TRUSTEES OF TUFTS COLLEGE INC,"$441,921",NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,"$1,000,000",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$1,200,000",NSF
UNIVERSITY OF ALASKA FAIRBANKS,"$954,290",NSF
CAPITOL COLLEGE,"$655,988",NSF
"MONTANA STATE UNIVERSITY, INC",,NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN,,NASA
MICHIGAN STATE UNIVERSITY,"$1,300,000",NSF
SOUTHERN ILLINOIS UNIVERSITY,"$896,629",NSF
UNIVERSITY OF NOTRE DAME DU LAC,"$52,434",NSF
NORTH CAROLINA STATE UNIVERSITY,"$249,854",NSF
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA","$250,000",NSF
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA","$1,714,176",NSF
UNIVERSITY OF OREGON,"$235,961",NSF
UNIVERSITY OF CONNECTICUT,"$800,000",NSF
UNIVERSITY OF NOTRE DAME DU LAC,"$75,000",NSF
"CHILDREN'S HOSPITAL CORPORATION, THE","$672,956",NSF
UNIVERSITY OF KENTUCKY,"$900,000",NSF
UNIVERSITY OF KENTUCKY,"$46,955",NSF
UNIVERSITY OF NOTRE DAME DU LAC,"$421,875",NSF
UNIVERSITY OF MARYLAND,"$1,470,000",NSF
GORDON RESEARCH CONFERENCES INC,"$48,400",NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,"$233,438",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$720,000",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$1,070,008",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$579,991",NSF
"JOHNS HOPKINS UNIVERSITY, THE","$119,997",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$311,702",NSF
AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM,"$749,977",NSF
APPLIED GEOSOLUTIONS LLC,,NASA
"PROXEMY RESEARCH, INC",,NASA
UNIVERSITY OF ALASKA FAIRBANKS,,NASA
UNIVERSITY OF WISCONSIN SYSTEM,"$783,697",NSF
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.","$191,543",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$1,400,956",NSF
"COLLEGE OF WILLIAM & MARY, THE","$15,000",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$300,971",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$249,376",NSF
YALE UNIVERSITY,"$100,000",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$102,387",NSF
"MARINE BIOLOGICAL LABORATORY, THE","$344,038",NSF
UNIVERSITY OF FLORIDA,"$409,498",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$283,907",NSF
APPALACHIAN STATE UNIVERSITY,"$112,938",NSF
"UNIVERSITY OF UTAH, THE","$282,225",NSF
"UNIVERSITY OF IOWA, THE","$200,521",NSF
MISSISSIPPI STATE UNIVERSITY,"$286,649",NSF
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.","$225,557",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$2,651,758",NSF
UNIVERSITY OF MARYLAND,"$234,225",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$126,646",NSF
EVERETT COMMUNITY COLLEGE,"$99,488",NSF
PURDUE UNIVERSITY,"$843,750",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$55,056",NSF
"UNIVERSITY OF CHICAGO, THE","$49,553",NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"$249,112",NSF
TRUSTEES OF INDIANA UNIVERSITY,"$686,411",NSF
"NEW YORK BOTANICAL GARDEN, THE","$599,866",NSF
MICHIGAN STATE UNIVERSITY,"$244,687",NSF
TRUSTEES OF BOSTON UNIVERSITY,"$998,503",NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,"$75,000",NSF
UNIVERSITY OF ROCHESTER,"$100,000",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$974,106",NSF
"WASHINGTON UNIVERSITY, THE","$121,909",NSF
UNIVERSITY OF NEBRASKA,"$716,893",NSF
UNIVERSITY OF PACIFIC,"$59,250",NSF
VIRGINIA INSTITUTE OF MARINE SCIENCE,"$582,532",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$1,857,920",NSF
ARIZONA STATE UNIVERSITY,"$249,998",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$479,207",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$572,853",NSF
THE GEORGE WASHINGTON UNIVERSITY,"$269,505",NSF
UNIVERSITY OF MAINE SYSTEM,"$54,486",NSF
UNIVERSITY OF FLORIDA,"$160,185",NSF
"UNIVERSITY OF TEXAS AT TYLER, THE","$60,420",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$475,264",NSF
NORTH DAKOTA STATE UNIVERSITY,"$406,000",NSF
MISSOURI STATE UNIVERSITY,"$150,727",NSF
"WASHINGTON AND LEE UNIVERSITY, THE","$4,157",NSF
UNIVERSITY OF WASHINGTON,"$1,384,217",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$1,198,122",NSF
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.","$350,264",NSF
MICHIGAN STATE UNIVERSITY,"$196,759",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$233,046",NSF
COLORADO STATE UNIVERSITY,"$89,683",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$1,138,067",NSF
UNIVERSITY OF ILLINOIS,"$20,569",NSF
AMERICAN ASSOCIATION OF PHYSICS TEACHERS INC,"$327,264",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$435,000",NSF
"UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.","$349,714",NSF
OREGON STATE UNIVERSITY,"$370,190",NSF
UNIVERSITY OF NORTH CAROLINA AT WILMINGTON,"$279,435",NSF
FORT BERTHOLD COMMUNITY COLLEGE,"$300,000",NSF
UNIVERSITY OF MARYLAND,"$234,225",NSF
UNIVERSITY OF TENNESSEE,"$259,931",NSF
DUKE UNIVERSITY,"$15,000,000",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$341,375",NSF
TRUSTEES OF INDIANA UNIVERSITY,"$589,572",NSF
UNIVERSITY OF MASSACHUSETTS,"$250,000",NSF
KANSAS STATE UNIVERSITY,"$499,113",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$356,249",NSF
UNIVERSITY OF TEXAS - PAN AMERICAN,"$12,238",NSF
UNIVERSITY OF CENTRAL ARKANSAS,"$320,549",NSF
UNIVERSITY OF ALASKA FAIRBANKS,"$274,795",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$718,805",NSF
UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER AT FORT WORTH,"$198,000",NSF
ARIZONA STATE UNIVERSITY,"$299,744",NSF
"CORNELL UNIVERSITY, INC","$300,000",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$482,833",NSF
"SENSYS NETWORKS, INC.","$450,587",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$151,358",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$793,206",NSF
NORTHEASTERN UNIVERSITY,"$247,724",NSF
"SALK INSTITUTE FOR BIOLOGICAL STUDIES, SAN DIEGO, CALIFORNIA, THE","$100,000",NSF
"UNIVERSITY OF UTAH, THE","$984,978",NSF
DELAWARE TRIBE OF INDIANS,"$24,879",NSF
UNIVERSITY OF TEXAS AT ARLINGTON,"$271,406",NSF
WESTERN MICHIGAN UNIVERSITY,"$75,000",NSF
NORTHERN ILLINOIS UNIVERSITY INC,"$196,258",NSF
NORTHWESTERN UNIVERSITY,"$99,142",NSF
KANSAS STATE UNIVERSITY,"$1,419,186",NSF
"UNIVERSITY OF UTAH, THE","$500,000",NSF
REGENTS OF THE UNIVERSITY OF IDAHO,"$103,241",NSF
TRUSTEES OF INDIANA UNIVERSITY,"$642,041",NSF
NEW YORK UNIVERSITY,"$201,245",NSF
"CORNELL UNIVERSITY, INC","$2,215,876",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$120,478",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$617,681",NSF
UNIVERSITY OF ILLINOIS,"$390,000",NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,"$201,859",NSF
"MARINE BIOLOGICAL LABORATORY, THE","$702,663",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$296,485",NSF
UNIVERSITY OF SOUTH CAROLINA,"$207,305",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$700,000",NSF
OAKLAND UNIVERSITY,"$262,347",NSF
UNIVERSITY OF SOUTHERN MISSISSIPPI,"$52,098",NSF
STEVENS INSTITUTE OF TECHNOLOGY (INC),"$549,978",NSF
MISSOURI WESTERN STATE UNIVERSITY,"$461,051",NSF
MUSEUM OF SCIENCE,"$393,681",NSF
UNIVERSITY OF FLORIDA,"$194,617",NSF
NATIONAL COLLEGIATE INVENTORS & INNOVATORS ALLIANCE,"$47,590",NSF
THE GEORGE WASHINGTON UNIVERSITY,"$395,626",NSF
HARVEY MUDD COLLEGE,"$598,513",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$1,000,000",NSF
OTTERBEIN UNIVERSITY,"$241,254",NSF
NEW YORK UNIVERSITY,"$799,782",NSF
"NATIONAL ECOLOGICAL OBSERVATORY NETWORK, INC.","$1,012,731",NSF
COMPUTING RESEARCH ASSOCIATION INC,"$548,929",NSF
WASHINGTON STATE UNIVERSITY,"$449,999",NSF
"OHIO STATE UNIVERSITY, THE","$1,645,612",NSF
YALE UNIVERSITY,"$374,096",NSF
"JOHNS HOPKINS UNIVERSITY, THE","$999,997",NSF
MARINE ENVMTL SCNCES CNSORTIUM,"$44,652",NSF
UNIVERSITY OF ILLINOIS,"$628,971",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$2,136,023",NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,"$199,999",NSF
UNIVERSITY OF RHODE ISLAND,"$791,574",NSF
TRUSTEES OF INDIANA UNIVERSITY,"$745,594",NSF
BOISE STATE UNIVERSITY,"$2,000,000",NSF
RAYTHEON BBN TECHNOLOGIES CORP.,"$7,364,810",NSF
UNIVERSITY OF SOUTH ALABAMA,"$515,373",NSF
"UNIVERSITY OF UTAH, THE","$1,370,098",NSF
GEORGE MASON UNIVERSITY,"$538,403",NSF
LEHIGH UNIVERSITY,"$384,733",NSF
MICHIGAN STATE UNIVERSITY,,NASA
SEATTLE UNIVERSITY,"$171,306",NSF
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","$713,181",NSF
UNIVERSITY OF ALASKA FAIRBANKS,"$1,227,445",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$1,568,445",NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","$200,000",NSF
UNIVERSITY OF TENNESSEE,"$300,000",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$800,000",NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"$333,089",NSF
UNIVERSITY OF MASSACHUSETTS,"$174,189",NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,"$2,499,248",NSF
NORTH CAROLINA STATE UNIVERSITY,"$355,508",NSF
"SALISH KOOTENAI COLLEGE, INC.","$375,122",NSF
HENRY HUNTINGTON,"$128,345",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$212,648",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$137,443",NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,"$178,741",NSF
"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.","$249,226",NSF
UNIVERSITY OF WASHINGTON,,NASA
THE TRUSTEES OF MOUNT HOLYOKE COLLEGE,"$411,531",NSF
NORTH CAROLINA STATE UNIVERSITY,"$999,481",NSF
"UNIVERSITY OF CHICAGO, THE","$12,541,381",NSF
UTAH STATE UNIVERSITY,"$166,222",NSF
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA","$400,000",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$1,000,000",NSF
UNIVERSITY OF NOTRE DAME DU LAC,"$166,666",NSF
HOFSTRA UNIVERSITY,"$1,499,616",NSF
UNIVERSITY OF CENTRAL FLORIDA,"$155,849",NSF
"CALIFORNIA STATE UNIVERSITY AUXILIARY SERVICES, INC","$199,304",NSF
UNIVERSITY OF MARYLAND,"$97,500",NSF
BRIGHAM YOUNG UNIVERSITY,"$599,918",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$199,813",NSF
METROPOLITAN STATE COLLEGE OF DENVER,"$199,719",NSF
UNIVERSITY OF FLORIDA,"$125,975",NSF
TENNESSEE TECHNOLOGICAL UNIVERSITY,"$181,159",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$102,423",NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,"$172,759",NSF
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.","$174,696",NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,,NASA
UNIVERSITY OF ALABAMA IN HUNTSVILLE,,NASA
SMITHSONIAN INSTITUTION,,NASA
RENSSELAER POLYTECHNIC INSTITUTE,,NASA
UNIVERSITY OF TEXAS AT AUSTIN,,NASA
MORGAN STATE UNIVERSITY (INC),,NASA
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,,NASA
OKLAHOMA STATE UNIVERSITY,"$144,145",NSF
ROCHESTER INSTITUTE OF TECHNOLOGY (INC),,NASA
"OHIO STATE UNIVERSITY, THE",,NASA
CATHOLIC UNIVERSITY OF AMERICA (THE),,NASA
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,,NASA
UNIVERSITY OF MARYLAND,,NASA
"OHIO STATE UNIVERSITY, THE","$4,000",NSF
MEDICAL UNIVERSITY OF SOUTH CAROLINA,"$650,000",NSF
"OHIO STATE UNIVERSITY, THE","$499,615",NSF
SRI INTERNATIONAL,"$500,000",NSF
CARNEGIE MELLON UNIVERSITY,"$35,000",NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"$433,711",NSF
"MONTANA STATE UNIVERSITY, INC","$1,993,959",NSF
ARIZONA STATE UNIVERSITY,"$576,675",NSF
GEORGIA TECH RESEARCH CORPORATION,"$1,247,841",NSF
WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,"$351,391",NSF
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","$356,542",NSF
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH,"$100,000",NSF
"CORNELL UNIVERSITY, INC","$360,000",NSF
UNIVERSITY OF CONNECTICUT,"$126,928",NSF
GEORGIA TECH RESEARCH CORPORATION,"$484,535",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$892,949",NSF
UNIVERSITY OF OKLAHOMA,"$7,000",NSF
"NATIONAL ACTION COUNCIL FOR MINORITIES IN ENGINEERING, INC., THE","$296,482",NSF
"LINCOLN PARK ZOOLOGICAL SOCIETY, THE","$79,894",NSF
SOUTH CAROLINA STATE UNIVERSITY,"$2,500,000",NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,"$207,818",NSF
"JOHNS HOPKINS UNIVERSITY, THE","$1,980,528",NSF
LAFAYETTE COLLEGE,"$53,282",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$546,718",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$1,000,000",NSF
INCORPORATED RESEARCH INSTITUTIONS FOR SEISMOLOGY,"$234,745",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$784,873",NSF
CARNEGIE MELLON UNIVERSITY,"$268,735",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$16,190",NSF
UNIVERSITY OF SAN FRANCISCO INC,"$10,000",NSF
THE TRUSTEES OF DAVIDSON COLLEGE,"$584,913",NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,"$1,000,000",NSF
CASE WESTERN RESERVE UNIVERSITY,"$16,123",NSF
BOISE STATE UNIVERSITY,"$499,771",NSF
AMERICAN INSTITUTE OF PHYSICS INCORPORATED,"$149,413",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$184,579",NSF
"JOHNS HOPKINS UNIVERSITY, THE","$9,549,659",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$473,560",NSF
SWARTHMORE COLLEGE,"$67,347",NSF
UNIVERSITY OF CONNECTICUT,"$372,457",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$79,866",NSF
WAYNE STATE UNIVERSITY (INC),"$200,000",NSF
UNIVERSITY OF PITTSBURGH THE,"$297,074",NSF
"UNAVCO, INC","$180,457",NSF
"WASHINGTON UNIVERSITY, THE","$718,042",NSF
"UNIVERSITY OF CALIFORNIA, IRVINE","$552,970",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$177,194",NSF
SRI INTERNATIONAL,"$599,991",NSF
UNIVERSITY OF PITTSBURGH THE,"$425,676",NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS,"$424,700",NSF
UNIVERSITY OF HOUSTON SYSTEM,"$900,000",NSF
NEW YORK UNIVERSITY,"$999,777",NSF
"TRUSTEES OF PRINCETON UNIVERSITY, THE","$160,561",NSF
UNIVERSITY OF ROCHESTER,"$433,673",NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION,"$459,200",NSF
TRUSTEES OF INDIANA UNIVERSITY,"$76,811",NSF
"UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.","$1,780,000",NSF
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY INC,"$365,197",NSF
"BOSTON COLLEGE, TRUSTEES OF","$874,462",NSF
SRI INTERNATIONAL,"$280,001",NSF
UNIVERSITY OF SOUTH FLORIDA,"$249,491",NSF
COLORADO STATE UNIVERSITY,"$262,400",NSF
UNIVERSITY OF CONNECTICUT,"$322,897",NSF
WESTERN MICHIGAN UNIVERSITY,"$37,845",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$542,839",NSF
UNIVERSITY OF ILLINOIS,"$742,695",NSF
UNIVERSITY OF SOUTHERN CALIFORNIA,"$500,000",NSF
TRUSTEES OF TUFTS COLLEGE INC,"$325,160",NSF
"HOWARD UNIVERSITY, INC.","$3,801,891",NSF
OREGON STATE UNIVERSITY,"$599,487",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$252,216",NSF
INCORPORATED RESEARCH INSTITUTIONS FOR SEISMOLOGY,"$636,426",NSF
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","$748,616",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$420,000",NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"$495,895",NSF
NORTHEASTERN UNIVERSITY,"$450,000",NSF
YALE UNIVERSITY,"$315,000",NSF
"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.","$180,962",NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION,"$526,498",NSF
UNIVERSITY OF MASSACHUSETTS,"$420,001",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$150,000",NSF
"TECHNICAL EDUCATION RESEARCH CENTERS, INC.","$577,852",NSF
WESTERN WASHINGTON UNIVERSITY,"$1,999,581",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$720,000",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$292,000",NSF
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.","$440,725",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$799,868",NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"$149,999",NSF
BRIGHAM YOUNG UNIVERSITY,"$219,805",NSF
SOUTHERN METHODIST UNIVERSITY INC,"$207,270",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$185,000",NSF
